package,version,status
react-native-fast-tflite,3.0.1,fail-baseline
react-native-geolocation-service,5.3.1,pass
react-native-google-cast,4.9.1,pass
react-native-nano-icons,0.2.1,fail-newdsl
react-native-navigation-mode,1.2.11,fail-newdsl
react-native-nitro-google-signin,2.1.0,fail-baseline
react-native-otp-verify,1.2.0,pass
react-native-passkey,3.6.1,fail-newdsl
react-native-pdf-renderer,2.3.0,fail-newdsl
react-native-play-install-referrer,2.0.1,pass
react-native-pulsar,1.7.0,fail-newdsl
react-native-sha256,1.4.10,fail-baseline
react-native-sound,0.13.0,fail-newdsl
react-native-ssl-public-key-pinning,1.2.6,pass
react-native-system-setting,1.7.6,pass
react-native-version-number,0.3.6,pass
react-native-video-trim,8.2.2,fail-newdsl
react-native-vision-camera-face-detector,2.0.6,fail-baseline
react-native-vision-camera-worklets,5.2.3,fail-baseline
@adobe/react-native-aepplaces,7.0.1,fail-baseline
@adobe/react-native-aepuserprofile,7.0.1,fail-baseline
@bam.tech/react-native-image-resizer,3.0.11,pass
@clerk/expo-passkeys,2.0.17,fail-newdsl
@daily-co/react-native-daily-js,0.87.1,pass
@daily-co/react-native-webrtc,124.0.6-daily.2,pass
@datadog/mobile-react-native-webview,3.7.0,fail-baseline
@dr.pogodin/react-native-fs,2.40.1,fail-newdsl
@giphy/react-native-sdk,6.0.3,fail-newdsl
@google-cloud/recaptcha-enterprise-react-native,18.9.2,fail-baseline
@google/react-native-make-payment,0.3.1,fail-baseline
@mixpanel/react-native-session-replay,1.3.0,fail-newdsl
@pusher/pusher-websocket-react-native,1.3.5,fail-newdsl
@react-native-community/push-notification-ios,1.12.0,pass
@react-native-documents/viewer,4.0.1,fail-newdsl
@react-native-firebase/in-app-messaging,26.3.3,fail-baseline
@react-native-firebase/installations,26.3.3,fail-baseline
@react-native-kakao/core,2.4.6,fail-baseline
@react-native-kakao/user,2.4.6,fail-baseline
@react-native-ml-kit/face-detection,2.0.1,pass
@react-native-seoul/kakao-login,6.0.4,fail-baseline
@react-native-vector-icons/ant-design,,fail-newdsl
@react-native-vector-icons/fontawesome,,fail-newdsl
@react-native-vector-icons/fontawesome5,,fail-newdsl
@react-native-vector-icons/fontawesome6,,fail-newdsl
@sbaiahmed1/react-native-blur,6.0.1,fail-newdsl
@shopify/checkout-sheet-kit,3.9.0,pass
@sparkfabrik/react-native-idfa-aaid,1.2.0,fail-newdsl
@stream-io/react-native-webrtc,145.3.1,fail-newdsl
@stream-io/video-react-native-sdk,1.45.0,fail-baseline
@sumsub/react-native-mobilesdk-module,1.46.1,fail-baseline
@swmansion/react-native-bottom-sheet,0.16.2,fail-newdsl
@walletconnect/react-native-compat,2.24.0,fail-newdsl
